protein_accessions	count	number_accessions_group
['GCA_265860']	3	1
['GCA_263332', 'GCA_263331']	3	2
['GCA_166781']	3	1
['GCA_156808']	3	1
['GCA_24980']	3	1
['GCA_99660', 'GCA_298866', 'GCA_228717', 'GCA_118122']	3	4
['GCA_68873']	3	1
['GCA_268733']	3	1
['GCA_86457']	3	1
['GCA_168207']	3	1
['GCA_238941']	3	1
['GCA_253361']	3	1
['GCA_147083']	3	1
['GCA_167746']	3	1
['GCA_181600']	3	1
['GCA_34831']	3	1
['GCA_130917']	3	1
['GCA_156690']	3	1
['GCA_193059']	3	1
['GCA_244281']	3	1
['GCA_147193']	3	1
['GCA_107931']	3	1
['GCA_168144']	3	1
['GCA_184609']	3	1
['GCA_182239']	3	1
['GCA_223384']	3	1
['GCA_87680', 'GCA_151005']	3	2
['GCA_31986']	3	1
['GCA_159542']	3	1
['GCA_109298']	3	1
['GCA_261375']	3	1
['GCA_88443']	3	1
['GCA_8759', 'GCA_264981']	3	2
['GCA_224382']	3	1
['GCA_121916']	3	1
['GCA_183312']	3	1
['GCA_156262']	3	1
['GCA_171306']	3	1
['GCA_221395']	3	1
['GCA_216420']	3	1
['GCA_105061', 'GCA_105059', 'GCA_105058']	3	3
['GCA_302792']	3	1
['GCA_28488']	3	1
['GCA_216948']	3	1
['GCA_274189']	3	1
['GCA_137385']	3	1
['GCA_288727']	3	1
['GCA_89588']	3	1
['GCA_243274', 'GCA_238241', 'GCA_191131']	3	3
['GCA_131204']	3	1
['GCA_99882']	3	1
['GCA_98781', 'GCA_171804']	3	2
['GCA_150018']	3	1
['GCA_137339']	3	1
['GCA_46677']	3	1
['GCA_252050']	3	1
['GCA_74982']	3	1
['GCA_264940']	3	1
['GCA_211701']	3	1
['GCA_60405']	3	1
['GCA_33082']	3	1
['GCA_29295']	3	1
['GCA_104304']	3	1
['GCA_209302', 'GCA_103981']	3	2
['GCA_54386']	3	1
['GCA_276267']	3	1
['GCA_159862']	3	1
['GCA_39107']	3	1
['GCA_58658', 'GCA_310602', 'GCA_261728', 'GCA_260787', 'GCA_240094', 'GCA_200256']	3	6
['GCA_250288']	3	1
['GCA_202833']	3	1
['GCA_291311']	3	1
['GCA_268422', 'GCA_185339', 'GCA_104966']	3	3
['GCA_278299']	3	1
['GCA_188373']	3	1
['GCA_252239']	3	1
['GCA_145588']	3	1
['GCA_267797']	3	1
['GCA_221696']	3	1
['GCA_291291']	3	1
['GCA_86183', 'GCA_115073']	3	2
['GCA_164165']	3	1
['GCA_131462']	3	1
['GCA_149436']	3	1
['GCA_213481']	3	1
['GCA_238964']	3	1
['GCA_160868']	3	1
['GCA_179356']	3	1
['GCA_133096']	3	1
['GCA_184006']	3	1
['GCA_40209']	3	1
['GCA_215975']	2	1
['GCA_169434']	2	1
['GCA_128923']	2	1
['GCA_91089']	2	1
['GCA_263632', 'GCA_125385']	2	2
['GCA_312772']	2	1
['GCA_318006']	2	1
['GCA_184983']	2	1
['GCA_179060']	2	1
['GCA_184959']	2	1
['GCA_316802', 'GCA_278838']	2	2
['GCA_266234']	2	1
['GCA_237356']	2	1
['GCA_301406']	2	1
['GCA_12744']	2	1
['GCA_112315']	2	1
['GCA_33156']	2	1
['GCA_120700']	2	1
['GCA_307860']	2	1
['GCA_135587']	2	1
['GCA_11494']	2	1
['GCA_214430']	2	1
['GCA_125010']	2	1
['GCA_183369']	2	1
['GCA_215431']	2	1
['GCA_250211']	2	1
['GCA_257306']	2	1
['GCA_132411']	2	1
['GCA_133204']	2	1
['GCA_175008']	2	1
['GCA_120060']	2	1
['GCA_266718']	2	1
['GCA_135197']	2	1
['GCA_79842']	2	1
['GCA_173566']	2	1
['GCA_133871']	2	1
['GCA_106252']	2	1
['GCA_89548']	2	1
['GCA_253600']	2	1
['GCA_239954']	2	1
['GCA_262407']	2	1
['GCA_35602']	2	1
['GCA_193324']	2	1
['GCA_86519']	2	1
['GCA_137352']	2	1
['GCA_139421']	2	1
['GCA_163554']	2	1
['GCA_42316']	2	1
['GCA_95483']	2	1
['GCA_164097']	2	1
['GCA_318790']	2	1
